id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_days_from_arrest,r_charge_desc,is_violent_recid,num_vr_cases,vr_charge_degree,vr_charge_desc,v_type_of_assessment,v_decile_score,v_score_text,type_of_assessment,decile_score_1,score_text
14,Male,27,25 - 45,Caucasian,0,4,0,0,0,-1,1,F,"Poss 3,4 MDMA (Ecstasy)",0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,4,Low
15,Male,23,Less than 25,African-American,0,6,0,0,3,0,0,M,Battery,1,NA,M,NA,Driving License Suspended,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
16,Female,37,25 - 45,Caucasian,0,1,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
17,Male,22,Less than 25,Caucasian,0,3,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,3,Low
18,Male,41,25 - 45,African-American,0,4,0,0,0,-1,1,F,"Poss3,4 Methylenedioxymethcath",0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,4,Low
19,Female,47,Greater than 45,Caucasian,0,1,0,0,1,-20,490,F,arrest case no charge,1,NA,F,0,Grand Theft (Motor Vehicle),0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
20,Male,31,25 - 45,African-American,0,3,0,0,7,22,71,F,Felony Driving While Lic Suspd,1,NA,M,0,Criminal Mischief>$200<$1000,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
21,Male,37,25 - 45,Hispanic,0,1,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
22,Male,25,25 - 45,African-American,0,10,0,0,3,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
23,Male,31,25 - 45,Caucasian,0,5,0,0,6,-1,1,F,Driving While License Revoked,1,NA,F,NA,Grand Theft in the 3rd Degree,1,NA,(F1),Kidnapping (Facilitate Felony),Risk of Violence,4,Low,Risk of Recidivism,5,Medium
24,Male,31,25 - 45,Caucasian,0,3,0,0,5,-1,1,F,Possession Of Heroin,1,NA,F,1,Possession of Cocaine,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
25,Male,64,Greater than 45,African-American,0,6,0,0,13,-1,1,F,arrest case no charge,1,NA,F,0,Poss Cocaine/Intent To Del/Sel,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,6,Medium
26,Male,21,Less than 25,African-American,0,9,0,0,1,-1,1,F,Battery on Law Enforc Officer,1,NA,M,0,Prowling/Loitering,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,9,High
27,Male,27,25 - 45,Caucasian,0,2,0,0,0,0,0,M,Possession Of Methamphetamine,1,NA,M,NA,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
28,Female,21,Less than 25,Caucasian,0,4,0,0,0,-2,2,F,Introduce Contraband Into Jail,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,4,Low
29,Male,24,Less than 25,African-American,0,-1,0,0,2,0,0,F,Poss Pyrrolidinovalerophenone,1,NA,M,NA,Petit Theft,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,-1,N/A
30,Male,24,Less than 25,Hispanic,0,4,0,0,1,0,1,F,Lewd/Lasc Battery Pers 12+/<16,1,NA,M,NA,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,4,Low
31,Male,42,25 - 45,Caucasian,0,3,0,0,1,-132,133,F,Trafficking In Methamphetamine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,3,Low
32,Male,43,25 - 45,Caucasian,0,1,0,0,1,-1,1,M,Susp Drivers Lic 1st Offense,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
33,Male,32,25 - 45,Other,0,3,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
34,Female,54,Greater than 45,African-American,0,9,0,0,0,-1,1,F,"Poss3,4 Methylenedioxymethcath",0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,9,High
35,Male,44,25 - 45,African-American,0,6,0,0,8,0,4296,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
36,Female,49,Greater than 45,Caucasian,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
37,Male,27,25 - 45,African-American,0,3,0,0,8,-1,1,F,Carrying Concealed Firearm,1,NA,M,NA,Driving License Suspended,1,NA,(F3),Felony Battery,Risk of Violence,3,Low,Risk of Recidivism,3,Low
38,Female,36,25 - 45,Caucasian,0,3,0,0,3,53,95,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,3,Low
39,Male,26,25 - 45,African-American,0,7,0,1,5,-1,1,F,Pos Cannabis W/Intent Sel/Del,1,NA,M,0,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,7,Medium
40,Male,33,25 - 45,African-American,0,10,0,0,0,0,1,F,Tampering With Physical Evidence,1,NA,F,NA,False Imprisonment,1,NA,(M1),Battery,Risk of Violence,6,Medium,Risk of Recidivism,10,High
41,Male,30,25 - 45,Caucasian,0,9,0,0,9,0,0,F,Felony Battery w/Prior Convict,1,NA,F,0,Grand Theft (Motor Vehicle),0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,9,High
42,Male,32,25 - 45,African-American,0,8,0,0,4,-1,1,F,Att Tamper w/Physical Evidence,1,NA,M,1,Resist/Obstruct W/O Violence,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,8,High
43,Male,63,Greater than 45,African-American,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
44,Male,27,25 - 45,Hispanic,0,3,0,0,2,0,1,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
45,Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
46,Male,29,25 - 45,Caucasian,0,8,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,8,High
47,Male,32,25 - 45,African-American,0,10,0,0,15,0,0,F,Felony Petit Theft,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,10,High
48,Male,38,25 - 45,African-American,0,3,0,2,5,-1,1,F,Burglary Structure Assault/Batt,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
49,Male,53,Greater than 45,Caucasian,0,5,0,0,19,-1,1,F,Fel Drive License Perm Revoke,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,5,Medium
50,Male,49,Greater than 45,Other,0,3,0,0,7,-1,0,F,Agg Fleeing and Eluding,1,NA,M,NA,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
51,Male,26,25 - 45,Caucasian,0,8,0,2,6,81,382,M,Operating W/O Valid License,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,8,High
52,Female,33,25 - 45,Caucasian,0,5,0,0,4,-1,1,M,Battery,1,NA,F,57,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,5,Medium
53,Male,24,Less than 25,Caucasian,0,2,0,0,1,0,0,M,Battery,1,NA,F,0,Possession of Cannabis,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
54,Male,34,25 - 45,African-American,2,9,1,3,21,0,0,F,Poss Wep Conv Felon,1,NA,M,0,Unlaw Use False Name/Identity,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,9,High
55,Male,29,25 - 45,Caucasian,0,2,0,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
56,Female,21,Less than 25,African-American,0,8,0,0,2,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,8,High
57,Male,51,Greater than 45,African-American,0,1,0,0,2,-1,1,M,Unlaw Use False Name/Identity,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
58,Male,36,25 - 45,African-American,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
59,Male,29,25 - 45,Caucasian,0,2,0,0,2,-1,1,M,Viol Injunct Domestic Violence,1,NA,M,0,Viol Pretrial Release Dom Viol,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
60,Male,25,25 - 45,African-American,0,6,0,0,0,-1,1,F,Burglary Unoccupied Dwelling,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,6,Medium
61,Female,51,Greater than 45,African-American,0,2,0,0,7,-1,1,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
62,Male,28,25 - 45,Caucasian,0,7,0,0,8,0,0,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,7,Medium
63,Male,36,25 - 45,African-American,0,9,0,0,22,-1,1,M,Burglary Dwelling Occupied,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,9,High
64,Male,29,25 - 45,African-American,0,7,0,0,0,0,0,F,Defrauding Innkeeper $300/More,1,NA,M,1,Viol Injunct Domestic Violence,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,7,Medium
65,Male,29,25 - 45,Other,0,1,0,0,0,-1,2,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
66,Male,25,25 - 45,Caucasian,0,10,0,0,9,-1,1,M,Battery,1,NA,F,0,Agg Battery Grt/Bod/Harm,1,NA,(F2),Agg Battery Grt/Bod/Harm,Risk of Violence,9,High,Risk of Recidivism,10,High
67,Male,35,25 - 45,African-American,1,8,0,4,13,-1,1,F,Uttering a Forged Instrument,1,NA,M,0,DOC/Fighting/Threatening Words,1,NA,(MO3),DOC/Fighting/Threatening Words,Risk of Violence,3,Low,Risk of Recidivism,8,High
68,Male,49,Greater than 45,Caucasian,0,1,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
69,Male,34,25 - 45,African-American,0,3,0,0,4,-59,59,M,Driving License Suspended,1,NA,M,NA,DWLS Canceled Disqul 1st Off,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
70,Male,29,25 - 45,African-American,0,4,0,0,0,0,1,F,Tampering With Physical Evidence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,4,Low
71,Male,29,25 - 45,Caucasian,0,2,0,0,1,-24,24,F,Possession of Oxycodone,1,NA,M,0,Driving Under The Influence,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
72,Female,28,25 - 45,Other,0,2,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
73,Male,51,Greater than 45,Caucasian,0,2,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
74,Male,25,25 - 45,Caucasian,0,3,0,0,0,0,0,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
75,Male,48,Greater than 45,Caucasian,0,6,0,0,20,302,562,F,arrest case no charge,1,NA,M,NA,Trespass Struct/Conveyance,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
76,Male,33,25 - 45,Caucasian,0,9,0,0,1,0,0,F,Grand Theft Dwell Property,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,9,High
77,Female,63,Greater than 45,Hispanic,0,1,0,0,1,-219,219,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
78,Male,30,25 - 45,African-American,0,6,0,1,3,-1,1,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
79,Male,31,25 - 45,African-American,0,5,0,1,15,-1,1,F,Attempt Armed Burglary Dwell,1,NA,M,NA,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,5,Medium
80,Male,24,Less than 25,African-American,0,4,0,0,2,-1,1,F,Poss Tetrahydrocannabinols,1,NA,M,1,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,4,Low
81,Male,27,25 - 45,African-American,0,5,0,0,0,-1,1,F,Felony Driving While Lic Suspd,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,5,Medium
82,Male,32,25 - 45,Caucasian,0,8,0,0,3,-1,1,F,Tampering With Physical Evidence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,8,High
83,Male,30,25 - 45,Hispanic,0,7,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,7,Medium
84,Male,49,Greater than 45,African-American,0,1,0,0,4,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
85,Male,53,Greater than 45,Caucasian,0,5,0,0,8,-13,13,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,5,Medium
86,Female,31,25 - 45,Hispanic,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
87,Male,35,25 - 45,African-American,0,3,0,0,5,-1,1,F,Driving While License Revoked,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
88,Male,63,Greater than 45,African-American,0,7,0,0,10,-38,906,M,Possess Drug Paraphernalia,1,NA,M,NA,Petit Theft,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,7,Medium
89,Male,33,25 - 45,African-American,0,1,0,0,2,-1,1,F,Agg Battery Grt/Bod/Harm,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
90,Male,27,25 - 45,African-American,1,10,1,2,15,-1,1,F,Driving While License Revoked,1,NA,M,0,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
91,Male,38,25 - 45,Caucasian,0,2,0,0,4,-1,1,M,Battery,1,NA,M,NA,Susp Drivers Lic 1st Offense,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
92,Male,46,Greater than 45,Caucasian,3,6,1,0,9,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,6,Medium
93,Male,22,Less than 25,African-American,0,4,0,1,1,-1,1,F,Poss Firearm W/Altered ID#,1,NA,M,NA,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,4,Low
94,Female,34,25 - 45,Caucasian,0,1,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
95,Male,22,Less than 25,African-American,0,10,1,2,2,70,114,F,Sell Conterfeit Cont Substance,1,NA,M,0,Susp Drivers Lic 1st Offense,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
96,Male,29,25 - 45,African-American,0,9,0,0,4,-1,1,F,arrest case no charge,1,NA,F,NA,Aggrav Stalking After Injunctn,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,9,High
97,Male,62,Greater than 45,Hispanic,0,1,0,0,0,0,1,M,Unlaw LicTag/Sticker Attach,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
98,Male,27,25 - 45,African-American,0,6,1,0,6,0,0,F,Aggravated Battery / Pregnant,1,NA,F,0,Possession of Cocaine,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,6,Medium
99,Male,33,25 - 45,Other,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
100,Female,56,Greater than 45,African-American,0,1,0,0,0,0,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
101,Male,45,Greater than 45,Hispanic,0,1,0,0,6,-1,1,F,Possession of Cocaine,1,NA,M,NA,Operating W/O Valid License,1,NA,(M1),Battery,Risk of Violence,1,Low,Risk of Recidivism,1,Low
102,Male,22,Less than 25,Hispanic,0,4,0,0,1,-1,1,F,Burglary Structure Unoccup,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,4,Low
103,Female,31,25 - 45,Caucasian,0,3,0,0,2,-1,1,F,Felony Driving While Lic Suspd,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
104,Male,34,25 - 45,African-American,0,4,0,0,0,0,0,F,False Imprisonment,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,4,Low
105,Male,39,25 - 45,African-American,0,4,0,0,1,-1,1,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,4,Low
106,Male,24,Less than 25,African-American,0,6,1,0,4,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
107,Male,29,25 - 45,African-American,0,6,0,0,5,0,0,F,False Name By Person Arrest,1,NA,M,0,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,6,Medium
108,Male,27,25 - 45,Caucasian,0,6,0,1,1,-1,1,F,arrest case no charge,1,NA,F,NA,Pos Cannabis W/Intent Sel/Del,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,6,Medium
109,Male,41,25 - 45,African-American,0,2,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
110,Female,24,Less than 25,Hispanic,0,4,0,0,1,-325,325,M,DUI Property Damage/Injury,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,4,Low
111,Male,40,25 - 45,African-American,0,2,0,0,2,-15,15,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
112,Male,51,Greater than 45,African-American,0,1,0,0,1,-78,78,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
113,Male,22,Less than 25,African-American,0,3,0,0,1,0,1,M,Battery,1,NA,M,NA,Driving License Suspended,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
114,Male,22,Less than 25,Caucasian,0,8,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,8,High
115,Female,26,25 - 45,African-American,0,4,0,0,1,-1,1,F,Poss Cocaine/Intent To Del/Sel,1,NA,M,0,Resist/Obstruct W/O Violence,1,NA,(F3),Child Abuse,Risk of Violence,3,Low,Risk of Recidivism,4,Low
116,Male,27,25 - 45,Caucasian,0,7,0,0,1,-43,44,F,Burglary Dwelling Assault/Batt,1,NA,M,24,Felony Battery w/Prior Convict,1,NA,(M1),Felony Battery w/Prior Convict,Risk of Violence,8,High,Risk of Recidivism,7,Medium
117,Female,59,Greater than 45,African-American,0,1,0,0,2,NA,67,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
118,Male,32,25 - 45,Caucasian,0,1,0,0,3,-389,711,M,Driving Under The Influence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,1,Low
119,Male,32,25 - 45,African-American,0,2,0,0,0,-1,1,F,Felony Battery (Dom Strang),0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
120,Male,41,25 - 45,African-American,0,2,0,0,1,-1,5185,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
121,Male,50,Greater than 45,Caucasian,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
122,Male,30,25 - 45,African-American,0,10,0,0,8,-1,1,M,Possess Cannabis/20 Grams Or Less,1,NA,M,0,Possess Cannabis/20 Grams Or Less,1,NA,(F3),Battery on a Person Over 65,Risk of Violence,9,High,Risk of Recidivism,10,High
123,Male,66,Greater than 45,African-American,0,9,0,0,0,-1,1372,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,9,High
124,Male,52,Greater than 45,African-American,0,5,0,0,3,-318,1,F,Driving While License Revoked,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,5,Medium
125,Male,36,25 - 45,African-American,0,6,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,6,Medium
126,Male,22,Less than 25,Caucasian,0,6,0,0,3,-5,7,F,Burglary Conveyance Unoccup,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,6,Medium
127,Male,50,Greater than 45,Other,0,1,0,0,0,-1,1,F,arrest case no charge,1,NA,M,135,Susp Drivers Lic 1st Offense,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
128,Male,25,25 - 45,African-American,1,10,6,1,14,-1,1,F,arrest case no charge,1,NA,M,0,Resist/Obstruct W/O Violence,1,NA,(M1),Battery,Risk of Violence,10,High,Risk of Recidivism,10,High
129,Female,44,25 - 45,Caucasian,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
130,Male,20,Less than 25,Other,0,5,0,0,0,-1,1,F,Tampering With Physical Evidence,1,NA,F,0,Robbery / No Weapon,1,NA,(F2),Agg Battery Grt/Bod/Harm,Risk of Violence,8,High,Risk of Recidivism,5,Medium
131,Male,22,Less than 25,African-American,1,9,0,0,2,0,0,F,Attempted Burg/struct/unocc,1,NA,M,1,Resist/Obstruct W/O Violence,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,9,High
132,Male,23,Less than 25,African-American,0,7,0,1,2,137,192,M,arrest case no charge,1,NA,M,NA,Leave Acc/Attend Veh/More $50,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,7,Medium
