id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid,compas_guess,compas_correct
152,2,0,24,0,0,1,28,1,2,0,0,1
153,2,0,30,0,0,1,152,1,2,0,0,1
154,1,1,39,0,0,0,15,1,1,1,0,0
156,1,0,24,0,1,8,163,1,6,1,1,1
157,1,0,30,0,0,0,317,1,4,0,0,1
158,1,0,31,0,0,0,45,0,5,0,1,0
159,1,1,39,0,0,1,318,1,4,0,0,1
160,2,0,59,0,0,14,28,1,9,1,1,1
163,1,0,43,0,0,1,306,1,1,0,0,1
166,2,0,21,0,0,3,190,1,9,1,1,1
169,1,0,38,0,0,5,283,0,4,1,0,0
171,1,0,34,0,0,0,16,1,5,0,1,0
173,2,0,33,0,0,5,253,1,5,1,1,1
174,2,0,37,0,0,3,280,1,2,0,0,1
175,1,0,42,0,0,1,13,1,2,1,0,0
176,2,0,41,0,1,10,306,1,9,1,1,1
177,2,0,22,0,0,0,418,1,4,1,0,0
178,2,0,33,0,12,28,129,1,8,1,1,1
180,2,0,31,0,0,1,45,0,7,0,1,0
182,6,1,30,0,0,1,89,1,2,0,0,1
183,1,0,31,0,0,13,28,1,10,1,1,1
184,2,0,27,0,0,3,306,1,9,1,1,1
187,2,0,56,0,0,8,28,1,9,0,1,0
189,1,0,52,0,0,3,45,0,9,0,1,0
190,2,0,33,0,0,19,28,1,10,1,1,1
192,1,1,64,0,0,2,337,0,1,0,0,1
193,1,0,22,0,0,4,297,1,6,1,1,1
194,1,0,42,0,0,6,297,1,3,0,0,1
195,1,1,25,0,0,2,28,1,4,0,0,1
197,1,0,30,0,0,1,7,0,2,0,0,1
199,1,0,28,0,0,2,28,1,1,0,0,1
200,6,1,37,0,0,2,242,0,2,0,0,1
202,1,0,28,0,0,0,123,0,2,1,0,0
203,2,1,24,0,0,0,45,0,2,0,0,1
206,1,1,29,0,1,10,190,1,4,1,0,0
208,1,0,44,0,0,2,45,0,2,1,0,0
209,3,1,30,0,0,4,49,1,5,1,1,1
210,2,0,32,0,0,3,306,1,7,1,1,1
213,1,0,31,0,0,2,337,0,3,1,0,0
215,2,0,31,0,0,1,215,0,2,0,0,1
216,1,0,59,0,0,1,306,1,2,1,0,0
218,1,1,45,0,0,4,28,1,4,0,0,1
220,2,1,20,1,0,1,28,1,10,0,1,0
222,1,1,43,0,0,0,133,0,1,0,0,1
223,2,0,38,1,1,9,306,1,8,1,1,1
224,2,0,32,0,0,11,268,1,6,1,1,1
225,2,0,33,0,0,8,31,0,5,1,1,1
227,2,1,31,0,0,0,319,1,3,1,0,0
228,2,1,33,0,0,7,306,1,9,1,1,1
229,2,0,27,0,0,2,379,1,9,1,1,1
231,2,1,20,0,0,0,190,1,6,0,1,0
232,1,1,26,0,0,0,151,0,6,0,1,0
234,2,1,61,0,0,1,365,1,1,1,0,0
235,6,0,52,0,0,13,175,1,7,1,1,1
236,3,0,63,0,0,1,28,1,1,0,0,1
238,2,1,32,0,0,4,28,1,10,1,1,1
239,3,0,29,0,0,1,190,1,4,0,0,1
240,6,1,46,0,0,1,189,1,2,0,0,1
241,2,1,26,0,0,2,128,0,4,1,0,0
242,2,0,55,0,0,3,45,0,1,0,0,1
243,1,0,39,1,0,1,28,0,4,0,0,1
244,1,1,30,0,0,3,304,1,7,1,1,1
245,2,0,30,0,0,1,56,1,7,0,1,0
246,1,0,48,0,0,2,45,0,2,0,0,1
248,2,0,22,0,0,1,28,1,2,0,0,1
249,1,0,46,0,0,6,129,1,1,1,0,0
251,1,1,49,0,0,6,89,1,6,0,1,0
252,1,0,31,0,0,0,108,1,5,0,1,0
254,2,0,25,0,0,1,45,0,2,1,0,0
257,3,0,23,0,0,0,280,1,3,0,0,1
258,2,1,32,0,0,5,15,1,7,0,1,0
259,3,0,52,0,0,2,206,0,1,0,0,1
260,2,0,62,0,0,8,306,1,4,0,0,1
262,1,1,37,0,0,6,306,1,10,0,1,0
263,1,0,55,0,0,1,190,1,1,0,0,1
264,3,0,31,0,0,8,28,1,9,1,1,1
265,2,0,28,0,0,6,337,0,6,1,1,1
266,3,0,54,0,0,2,65,1,1,0,0,1
267,3,0,58,0,0,0,311,1,2,0,0,1
268,1,0,78,0,0,1,128,0,1,1,0,0
269,1,0,56,0,0,0,306,1,1,0,0,1
271,6,0,24,0,0,0,65,1,2,0,0,1
272,2,0,38,2,2,22,74,1,8,1,1,1
275,2,0,22,0,0,1,246,1,5,1,1,1
277,2,0,47,0,0,23,283,0,8,1,1,1
278,2,0,23,0,0,0,45,0,2,1,0,0
279,3,0,57,0,0,1,129,1,1,0,0,1
280,1,1,38,0,0,2,306,1,5,1,1,1
281,2,0,66,0,0,3,6,1,1,0,0,1
282,1,0,45,0,0,8,423,0,4,1,0,0
285,6,1,52,0,0,0,28,0,3,1,0,0
286,2,0,32,0,0,13,252,1,10,1,1,1
287,2,0,37,0,0,2,45,0,9,1,1,1
288,1,0,39,0,0,0,317,1,4,1,0,0
289,2,0,26,0,0,9,112,1,9,1,1,1
291,1,0,45,0,0,2,211,1,3,0,0,1
293,2,0,23,0,0,0,303,1,3,1,0,0
294,2,0,34,0,0,2,45,0,2,0,0,1
297,2,1,23,0,0,1,45,0,4,0,0,1
298,6,0,36,0,0,2,45,0,3,1,0,0
299,1,0,50,0,0,1,359,1,1,0,0,1
300,1,1,37,0,0,0,208,0,3,0,0,1
301,1,0,44,0,0,4,45,0,4,0,0,1
302,2,1,35,0,1,23,175,1,9,1,1,1
304,6,0,24,0,0,5,28,1,5,1,1,1
306,2,0,26,0,0,2,179,1,10,1,1,1
308,2,0,27,0,0,0,92,0,2,0,0,1
310,2,1,28,0,0,0,10,1,8,0,1,0
311,1,0,43,0,0,11,28,1,5,1,1,1
313,1,1,28,0,0,7,175,1,9,1,1,1
315,2,0,38,0,0,2,129,1,1,0,0,1
316,1,0,27,0,0,2,397,0,4,0,0,1
317,2,1,28,0,0,1,28,1,9,0,1,0
319,1,0,56,0,0,7,172,1,1,1,0,0
320,2,0,38,0,0,15,306,1,9,0,1,0
321,2,0,28,0,0,2,283,0,5,0,1,0
322,2,0,45,0,0,3,28,1,6,0,1,0
323,3,0,28,0,0,0,134,0,2,0,0,1
325,1,0,61,0,0,1,28,1,1,0,0,1
326,1,1,51,0,0,0,128,0,1,1,0,0
327,1,0,51,0,0,0,45,0,2,0,0,1
329,6,0,36,0,0,1,283,0,1,1,0,0
330,2,0,48,0,0,0,20,1,1,0,0,1
331,1,0,37,0,0,4,28,1,3,1,0,0
332,2,1,30,0,0,2,190,1,7,0,1,0
333,2,1,41,0,0,5,45,0,6,0,1,0
334,2,0,27,0,0,11,342,1,10,1,1,1
335,2,0,37,0,0,0,45,0,1,0,0,1
336,6,0,33,0,0,4,16,1,4,1,0,0
337,2,0,54,0,0,11,186,1,9,0,1,0
338,2,0,23,0,0,2,343,1,9,0,1,0
341,2,1,26,0,0,2,28,1,4,1,0,0
344,2,0,41,0,0,0,45,0,1,0,0,1
345,1,0,52,0,0,0,66,1,1,0,0,1
347,1,0,43,0,0,13,129,1,4,1,0,0
348,2,0,52,0,0,0,418,1,4,0,0,1
349,1,0,28,0,0,1,28,1,1,0,0,1
350,2,0,30,0,0,11,45,0,9,1,1,1
351,1,0,28,0,0,1,92,1,5,0,1,0
354,2,0,22,0,0,0,246,1,4,0,0,1
355,2,0,30,0,0,4,129,1,2,0,0,1
356,3,0,25,0,0,4,303,1,4,0,0,1
357,1,0,31,0,0,0,65,1,8,1,1,1
358,1,0,37,0,0,0,190,1,2,1,0,0
359,2,0,32,0,1,14,21,1,9,0,1,0
360,2,0,26,0,1,4,283,0,8,0,1,0
361,1,0,53,0,0,1,45,0,1,0,0,1
362,2,0,28,0,0,25,28,1,8,1,1,1
363,1,0,44,0,0,8,45,0,5,1,1,1
364,2,0,25,0,0,0,190,1,3,0,0,1
366,1,0,22,0,0,1,430,0,8,1,1,1
369,6,1,37,0,0,0,45,0,1,0,0,1
372,6,1,40,0,0,3,129,1,2,0,0,1
374,1,0,36,0,0,8,172,1,7,1,1,1
375,1,0,30,0,0,4,159,1,2,0,0,1
376,2,0,22,0,0,3,328,0,9,1,1,1
377,1,1,24,0,0,1,45,0,7,1,1,1
378,2,0,27,0,0,3,426,0,2,1,0,0
379,3,1,31,0,0,0,45,0,2,0,0,1
381,3,0,23,0,0,1,28,1,6,1,1,1
382,1,1,23,0,0,5,28,1,5,1,1,1
383,3,0,24,0,0,0,283,0,8,0,1,0
384,2,0,29,0,0,1,45,0,3,0,0,1
385,2,0,20,0,0,1,71,1,8,1,1,1
386,2,0,30,0,0,2,71,1,6,1,1,1
389,6,0,39,0,0,0,384,1,1,0,0,1
390,2,0,27,0,0,4,28,1,4,0,0,1
392,1,0,31,0,0,2,28,0,4,0,0,1
393,2,1,37,0,0,2,28,1,1,0,0,1
396,2,0,20,0,0,0,292,1,8,0,1,0
398,3,0,22,0,0,0,280,1,7,0,1,0
399,2,1,52,0,0,0,58,1,1,0,0,1
400,2,1,23,0,0,0,71,1,4,1,0,0
402,2,1,48,0,0,0,15,1,2,0,0,1
403,2,0,66,0,0,8,112,1,6,1,1,1
404,1,0,25,0,0,0,108,1,5,0,1,0
405,1,0,27,0,0,0,190,1,6,1,1,1
406,2,0,30,0,0,11,404,1,7,1,1,1
407,2,0,22,0,1,3,45,0,10,1,1,1
408,1,1,22,0,0,1,246,1,3,0,0,1
409,2,0,35,0,0,2,28,1,10,0,1,0
410,1,0,32,0,0,2,28,1,4,0,0,1
411,2,1,41,0,0,2,49,0,3,0,0,1
414,6,1,25,0,0,0,15,1,2,0,0,1
415,2,0,44,0,0,24,240,0,7,0,1,0
416,2,0,52,0,0,3,306,1,6,1,1,1
417,2,0,43,0,0,0,169,1,1,0,0,1
423,1,0,37,0,0,3,28,1,1,0,0,1
424,2,0,28,0,0,3,283,0,4,1,0,0
425,1,0,70,0,0,1,45,0,1,0,0,1
426,1,0,54,0,0,6,306,1,2,1,0,0
428,1,0,46,0,0,3,28,1,4,0,0,1
429,2,0,21,0,0,0,242,0,9,1,1,1
430,2,0,26,0,0,1,45,0,8,1,1,1
431,3,0,38,0,0,3,89,1,1,1,0,0
432,1,0,34,0,0,5,45,0,4,0,0,1
434,2,0,19,0,0,1,190,1,5,1,1,1
435,2,0,34,0,0,5,127,0,4,0,0,1
437,1,0,23,0,0,0,15,1,5,1,1,1
438,2,0,34,0,0,5,319,1,4,1,0,0
439,2,0,30,0,0,2,28,1,1,0,0,1
440,2,0,39,0,0,6,21,1,3,1,0,0
441,6,0,24,0,0,0,156,1,3,0,0,1
442,1,0,33,0,0,1,128,0,3,1,0,0
445,1,0,58,0,0,2,8,1,3,0,0,1
446,2,1,21,0,0,0,45,0,6,0,1,0
450,2,0,21,0,0,1,42,1,5,0,1,0
451,2,0,23,0,0,4,283,0,8,1,1,1
452,1,0,62,0,0,0,159,1,1,0,0,1
454,2,0,27,1,0,4,283,0,8,1,1,1
456,1,0,37,0,0,5,49,1,3,0,0,1
457,6,0,43,0,0,2,190,1,2,1,0,0
459,2,1,32,0,0,5,10,1,1,0,0,1
461,3,0,23,0,0,0,58,1,3,0,0,1
462,2,0,27,0,0,0,45,0,1,0,0,1
463,1,0,44,0,0,0,45,0,1,1,0,0
464,1,0,28,0,0,3,45,0,3,1,0,0
465,1,1,42,0,0,0,306,1,2,0,0,1
467,6,0,24,0,1,9,336,1,10,1,1,1
468,2,0,27,0,0,0,10,1,2,0,0,1
469,2,0,20,0,0,0,186,1,10,1,1,1
474,1,1,51,0,0,0,49,0,1,0,0,1
475,1,0,56,0,0,0,50,0,1,0,0,1
478,2,0,29,0,0,7,28,1,9,0,1,0
480,2,0,20,0,0,0,190,1,9,1,1,1
481,1,0,53,0,0,6,28,1,1,0,0,1
484,1,0,27,0,0,8,28,1,5,0,1,0
485,2,0,24,0,1,2,64,1,9,1,1,1
487,1,0,53,0,0,36,85,1,6,1,1,1
489,1,0,28,0,0,2,45,0,3,1,0,0
493,2,0,45,0,0,1,89,1,1,0,0,1
494,3,0,21,0,1,3,190,1,5,0,1,0
495,2,1,36,0,0,0,10,1,7,0,1,0
496,1,1,25,0,0,2,242,0,4,1,0,0
497,3,1,23,0,0,1,239,0,3,0,0,1
499,1,0,28,0,0,1,246,1,5,0,1,0
500,2,1,21,0,0,0,344,1,8,1,1,1
501,1,0,36,0,0,0,423,0,3,0,0,1
502,2,0,24,0,0,0,190,1,3,0,0,1
503,2,0,28,0,0,3,28,1,6,1,1,1
504,6,0,30,0,0,1,28,1,2,1,0,0
505,2,0,29,0,0,0,15,1,1,0,0,1
509,1,1,30,0,0,0,45,0,6,0,1,0
510,3,0,51,0,0,1,31,0,1,0,0,1
511,6,0,33,0,0,3,169,1,1,0,0,1
512,2,1,25,0,0,2,28,1,6,0,1,0
516,2,0,32,0,1,12,28,1,9,1,1,1
517,2,0,23,0,0,1,190,1,6,0,1,0
518,2,0,47,0,0,3,292,1,3,0,0,1
521,3,1,32,0,0,1,306,1,3,1,0,0
522,1,0,37,0,0,0,181,1,1,0,0,1
523,2,0,19,0,2,2,268,1,10,1,1,1
524,3,0,27,0,0,0,45,0,8,0,1,0
525,6,0,39,0,0,0,45,0,1,0,0,1
526,1,1,21,0,0,0,306,1,6,0,1,0
527,1,0,69,0,0,0,15,0,1,0,0,1
530,1,0,21,0,0,2,28,1,6,0,1,0
531,2,0,26,0,0,6,45,0,10,1,1,1
532,1,0,22,0,0,0,306,1,4,0,0,1
533,2,1,23,0,0,0,129,1,5,1,1,1
537,2,0,49,0,0,3,186,1,5,0,1,0
538,2,0,29,0,0,2,45,0,4,0,0,1
540,1,1,60,0,0,0,45,0,1,0,0,1
541,2,1,26,0,0,0,28,0,10,0,1,0
542,2,0,23,2,0,3,280,1,10,1,1,1
543,3,0,34,0,0,2,28,0,5,1,1,1
545,6,1,20,1,0,1,28,1,4,0,0,1
546,3,0,36,0,0,1,176,1,3,0,0,1
547,1,0,30,0,0,0,306,1,4,0,0,1
548,2,0,21,0,1,1,190,1,3,0,0,1
552,1,0,22,0,0,2,283,0,6,1,1,1
553,2,0,57,0,0,18,28,1,8,0,1,0
557,2,0,21,0,0,4,28,1,9,1,1,1
558,2,0,21,0,0,0,64,1,5,1,1,1
561,1,0,34,0,0,1,45,0,1,0,0,1
563,1,1,50,0,0,1,45,0,1,1,0,0
565,1,0,40,0,0,0,28,1,7,1,1,1
566,2,0,25,0,0,7,377,1,8,1,1,1
567,1,1,53,0,0,1,45,0,1,0,0,1
569,2,1,24,0,0,0,15,1,4,0,0,1
572,2,0,42,0,0,1,28,1,1,0,0,1
573,2,0,28,0,0,1,45,0,3,0,0,1
574,1,0,24,0,0,1,123,0,4,0,0,1
576,2,0,26,1,1,6,342,1,8,1,1,1
579,2,0,22,0,0,4,190,1,9,1,1,1
580,1,0,21,0,0,3,28,0,7,0,1,0
581,2,0,37,0,0,23,49,1,9,1,1,1
584,2,0,35,0,0,2,303,1,5,0,1,0
586,2,0,53,0,0,2,172,1,1,0,0,1
587,2,0,60,0,0,1,28,1,1,0,0,1
588,2,0,29,0,0,7,306,1,4,0,0,1
590,1,0,48,1,0,23,175,1,8,1,1,1
594,1,1,52,0,0,0,45,0,1,0,0,1
597,2,0,27,0,0,12,129,1,8,1,1,1
598,2,0,28,0,0,5,28,1,9,0,1,0
599,1,0,33,0,0,3,45,0,3,0,0,1
600,3,1,28,0,0,0,28,1,2,0,0,1
601,1,0,47,0,0,5,306,1,10,1,1,1
602,2,0,36,0,0,14,383,1,7,1,1,1
603,2,0,29,1,0,2,21,1,5,0,1,0
604,2,0,22,0,0,0,410,0,9,1,1,1
605,2,0,26,0,0,6,252,1,7,0,1,0
608,1,0,25,0,0,0,336,1,2,0,0,1
609,1,0,68,0,0,2,15,1,1,0,0,1
611,2,0,56,0,0,5,129,1,3,0,0,1
612,2,0,27,0,0,9,21,1,8,1,1,1
613,1,0,52,0,0,4,190,1,1,1,0,0
616,2,0,32,0,0,3,49,1,2,0,0,1
617,6,0,60,0,0,4,28,1,1,0,0,1
621,3,0,23,0,0,1,144,0,3,0,0,1
622,1,1,39,0,0,0,123,0,6,0,1,0
623,1,0,56,0,0,0,45,0,1,0,0,1
624,2,1,22,0,0,0,280,1,7,0,1,0
625,2,1,27,0,0,1,417,1,2,1,0,0
627,2,0,53,0,0,11,28,1,6,0,1,0
628,1,0,25,0,0,0,128,0,2,1,0,0
629,3,0,21,0,0,0,45,0,3,0,0,1
630,1,0,22,0,0,0,209,1,3,0,0,1
633,1,1,58,0,0,2,134,0,1,0,0,1
635,2,0,31,0,0,7,21,0,3,1,0,0
637,1,0,22,0,0,1,163,1,5,1,1,1
638,2,0,28,0,0,8,418,1,6,1,1,1
639,6,0,42,0,0,1,28,1,1,0,0,1
640,2,0,20,0,0,0,186,1,7,1,1,1
641,1,0,29,0,0,0,45,0,6,1,1,1
643,2,0,29,0,0,8,28,1,10,0,1,0
644,2,0,58,0,0,21,28,0,7,1,1,1
645,2,0,22,0,0,3,190,1,7,0,1,0
646,3,0,48,0,0,1,239,0,1,1,0,0
647,1,0,37,0,0,0,90,1,4,0,0,1
648,2,0,57,0,0,1,175,1,5,1,1,1
649,1,0,27,0,0,3,180,0,1,0,0,1
651,2,0,26,0,0,3,65,1,4,0,0,1
653,1,0,24,0,1,3,280,1,8,1,1,1
654,1,0,33,0,0,0,21,1,1,0,0,1
656,2,0,29,0,0,2,28,1,6,0,1,0
657,2,1,24,0,0,3,190,1,10,1,1,1
659,1,0,19,0,0,1,169,1,10,1,1,1
660,1,0,36,0,0,2,45,0,1,0,0,1
662,1,1,24,0,0,0,280,1,5,0,1,0
664,1,0,34,0,0,0,133,0,1,0,0,1
668,3,0,25,0,0,2,28,1,5,1,1,1
669,2,0,20,1,0,1,28,1,10,1,1,1
673,3,0,28,0,0,2,28,0,5,1,1,1
674,2,0,24,0,0,1,45,0,2,1,0,0
675,1,0,61,0,0,4,28,1,1,0,0,1
678,2,1,50,0,0,3,15,1,2,0,0,1
679,2,0,30,0,0,1,45,0,1,0,0,1
680,2,0,38,0,0,5,303,1,3,0,0,1
681,1,0,24,0,0,0,45,0,1,0,0,1
684,2,0,45,0,0,16,28,1,2,0,0,1
685,2,1,46,0,0,2,190,1,10,1,1,1
686,1,0,41,0,0,0,45,0,1,1,0,0
687,6,0,20,0,0,0,306,1,8,1,1,1
688,2,0,27,0,0,13,283,0,8,1,1,1
689,2,1,51,0,0,16,306,1,8,0,1,0
691,2,0,26,0,0,1,45,0,6,1,1,1
692,2,0,29,0,0,3,309,1,5,1,1,1
693,1,0,52,0,0,6,190,1,5,1,1,1
694,1,0,28,0,0,1,6,1,4,1,0,0
696,5,1,34,0,0,4,28,1,7,1,1,1
697,2,0,55,0,0,5,175,1,3,1,0,0
700,2,0,26,1,1,10,18,1,9,1,1,1
701,2,0,28,0,0,5,297,1,10,0,1,0
703,1,0,63,0,0,2,174,1,1,0,0,1
704,2,0,42,0,0,0,16,1,1,0,0,1
707,2,0,23,1,2,6,129,1,6,0,1,0
708,2,0,54,0,0,28,306,1,9,1,1,1
709,2,0,35,0,0,8,170,1,7,1,1,1
711,2,1,24,1,0,6,28,1,9,1,1,1
712,2,0,54,0,0,2,45,0,1,0,0,1
713,2,0,58,0,0,12,133,0,6,1,1,1
715,1,0,23,0,0,1,337,0,5,1,1,1
716,2,0,35,0,0,1,45,0,2,0,0,1
718,2,0,20,0,0,1,183,1,10,1,1,1
720,1,0,51,0,0,0,169,1,1,0,0,1
721,3,0,24,0,0,0,248,1,10,0,1,0
722,1,0,37,0,0,3,306,1,2,0,0,1
724,1,0,47,0,0,3,126,1,1,0,0,1
726,1,0,34,0,0,4,303,1,6,1,1,1
727,1,0,56,0,0,0,190,1,1,0,0,1
728,3,0,34,0,0,4,61,1,1,1,0,0
729,1,0,59,0,0,1,60,1,1,1,0,0
730,4,0,35,0,0,0,64,1,6,0,1,0
731,3,0,58,0,0,1,292,1,1,0,0,1
732,3,0,29,0,0,2,128,0,4,0,0,1
737,1,1,24,0,0,6,253,1,9,1,1,1
738,1,0,21,0,0,2,31,0,9,1,1,1
739,2,0,26,0,0,2,28,0,9,0,1,0
740,4,0,50,0,0,5,129,1,7,1,1,1
743,2,0,26,0,0,1,72,1,2,0,0,1
745,1,1,30,0,0,0,128,0,2,0,0,1
750,1,0,29,0,0,6,28,1,9,1,1,1
752,1,0,29,0,0,0,45,0,4,1,0,0
753,2,0,54,0,0,0,45,0,1,0,0,1
754,2,0,29,0,0,4,163,1,4,1,0,0
756,1,1,59,0,0,0,134,0,1,0,0,1
757,2,0,38,0,0,0,379,1,5,0,1,0
758,3,1,22,0,0,2,306,1,5,1,1,1
760,2,0,29,0,0,4,28,1,7,1,1,1
762,1,0,27,0,0,1,240,0,3,1,0,0
763,3,0,26,0,0,7,15,1,5,1,1,1
764,3,0,52,0,0,20,158,1,3,0,0,1
765,2,0,66,0,0,33,90,1,6,1,1,1
769,1,0,27,0,0,2,306,1,5,0,1,0
770,1,0,51,0,0,1,134,0,1,0,0,1
771,1,0,35,0,0,1,28,1,2,0,0,1
774,2,0,26,0,0,1,379,1,7,0,1,0
775,1,0,52,0,0,4,45,0,3,0,0,1
779,2,1,35,0,0,12,374,0,2,0,0,1
781,6,0,48,0,0,12,16,1,5,0,1,0
785,2,1,26,0,0,0,45,0,2,0,0,1
786,1,1,48,0,0,0,207,0,1,0,0,1
787,3,0,30,0,0,7,45,0,4,0,0,1
788,6,0,28,0,0,2,45,0,1,0,0,1
789,2,0,33,0,0,2,45,0,3,0,0,1
790,2,1,34,0,0,6,58,1,4,0,0,1
792,6,0,25,0,0,0,283,0,1,0,0,1
793,2,0,59,0,0,10,28,1,7,1,1,1
794,2,0,29,0,0,5,253,1,5,1,1,1
796,1,0,24,0,0,0,306,1,2,0,0,1
798,1,0,48,0,0,1,6,1,7,1,1,1
800,2,0,55,0,0,0,45,0,8,1,1,1
803,2,0,52,0,0,4,149,0,5,0,1,0
804,2,0,20,0,0,0,309,1,4,1,0,0
805,1,0,25,0,0,4,306,1,4,1,0,0
806,1,0,24,0,0,0,6,1,2,0,0,1
807,1,0,23,0,0,0,45,0,9,0,1,0
808,1,0,27,0,1,6,169,1,4,0,0,1
810,2,0,25,0,1,1,45,0,3,1,0,0
812,2,0,31,0,0,0,400,1,2,0,0,1
813,2,0,25,0,1,6,28,1,4,1,0,0
